Score,GPT-4o-mini,Grok-3-mini,Qwen3.5-9B,Gemma-4-31B,DeepSeek-Reasoner,Gemini-3.5-Flash-Lite (OpenRouter)
EA_Personal-Others,0.72,0.72,0.68,0.76,0.72,0.78
EA_Personal-Self,0.74,0.7,0.78,0.82,0.68,0.74
EA_Social-Others,0.68,0.78,0.62,0.76,0.64,0.76
EA_Social-Self,0.66,0.74,0.68,0.74,0.56,0.7
EA_Overall,0.7,0.735,0.69,0.77,0.65,0.745
EU_complex_emotions,0.6122,0.8571,0.6735,0.8571,0.8163,0.7347
EU_emotional_cues,0.4643,0.75,0.75,0.75,0.75,0.6429
EU_personal_beliefs_and_experiences,0.4107,0.7321,0.5714,0.6964,0.6607,0.7143
EU_perspective_taking,0.3582,0.6418,0.4478,0.6269,0.6119,0.5373
EU_Overall,0.45,0.735,0.58,0.72,0.695,0.65
Overall_Score,0.575,0.735,0.635,0.745,0.6725,0.6975
