uid,dialogue_id,agent,opponent,gold_high,gold_med,gold_low,pred,belief_em,raw_response
0-0_agent_1_belief,0-0,agent_1,agent_2,Firewood,Not Given,Not Given,"{'high': 'Firewood', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"":""Firewood"",""medium"":""Not Given"",""low"":""Not Given""}"
0-0_agent_2_belief,0-0,agent_2,agent_1,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}"
0-1_agent_1_belief,0-1,agent_1,agent_2,Firewood,Not Given,Not Given,"{'high': 'firewood', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"":""firewood"",""medium"":""Not Given"",""low"":""Not Given""}"
0-1_agent_2_belief,0-1,agent_2,agent_1,Firewood,Not Given,Not Given,"{'high': 'firewood', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"":""firewood"",""medium"":""Not Given"",""low"":""Not Given""}"
0-2_agent_1_belief,0-2,agent_1,agent_2,Firewood,Food,Water,"{'high': 'firewood', 'medium': 'Not Given', 'low': 'water'}",0,"{""high"":""firewood"",""medium"":""Not Given"",""low"":""water""}"
0-2_agent_2_belief,0-2,agent_2,agent_1,Firewood,Food,Water,"{'high': 'firewood', 'medium': 'food', 'low': 'water'}",1,"{""high"":""firewood"",""medium"":""food"",""low"":""water""}"
0-3_agent_1_belief,0-3,agent_1,agent_2,Firewood,Food,Water,"{'high': 'firewood', 'medium': 'Not Given', 'low': 'water'}",0,"{""high"":""firewood"",""medium"":""Not Given"",""low"":""water""}"
0-3_agent_2_belief,0-3,agent_2,agent_1,Firewood,Food,Water,"{'high': 'firewood', 'medium': 'food', 'low': 'water'}",1,"{""high"":""firewood"",""medium"":""food"",""low"":""water""}"
0-4_agent_1_belief,0-4,agent_1,agent_2,Firewood,Food,Water,"{'high': 'firewood', 'medium': 'Not Given', 'low': 'water'}",0,"{""high"":""firewood"",""medium"":""Not Given"",""low"":""water""}"
0-4_agent_2_belief,0-4,agent_2,agent_1,Firewood,Food,Water,"{'high': 'firewood', 'medium': 'food', 'low': 'water'}",1,"{""high"":""firewood"",""medium"":""food"",""low"":""water""}"
0-5_agent_1_belief,0-5,agent_1,agent_2,Firewood,Food,Water,"{'high': 'Firewood', 'medium': 'Food', 'low': 'Water'}",1,"{""high"":""Firewood"",""medium"":""Food"",""low"":""Water""}"
0-5_agent_2_belief,0-5,agent_2,agent_1,None,None,None,"{'high': 'firewood', 'medium': 'food', 'low': 'water'}",0,"{""high"":""firewood"",""medium"":""food"",""low"":""water""}"
1-0_agent_1_belief,1-0,agent_1,agent_2,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}"
